,SITE_ID,LATITUDE,LONGITUDE,LOCATION_DESCR
627,NSA-OBS-99OBS-TGB12-CON01,55.88007,-98.48139,TGB-12 SOil Carbon measurement site.
628,NSA-OBS-9OBS1-TGB12-CON01,55.88007,-98.48139,Old Black Spruce
629,NSA-OBS-9OBS2-TGB12-CON01,55.88007,-98.48139,TGB12 measurement site near Old Black Spruce
630,NSA-OBS-FCA01-FORCN-1FCAN,55.88329,-98.47756,TE-OBS Plot 1
631,NSA-OBS-FCA01-FORCN-2FCAN,55.88316,-98.47574,TE-OBS Plot2
632,NSA-OBS-FCA01-FORCN-3FCAN,55.88304,-98.47415,TE-OBS Plot3
633,NSA-OBS-FLXTR-9TE02-FLR01,55.88007,-98.48139,TE-02 Foliage respiration measurement site near the NSA-OBS Flux Tower.
634,NSA-OBS-FLXTR-9TE02-RTR01,55.88007,-98.48139,TE-02 Root respiration measurement site near the NSA-OBS Flux Tower.
635,NSA-OBS-FLXTR-9TE02-SAP01,55.88007,-98.48139,TE-02 Sapwood measurement site near the NSA-OBS Flux Tower.
636,NSA-OBS-FLXTR-9TE02-WDR01,55.88007,-98.48139,TE-02 Wood respiration measurement site near the NSA-OBS Flux Tower.
637,NSA-OBS-FLXTR-9TE02-WRC01,55.88007,-98.48139,TE-02 Continuous wood respiration measurement site near the NSA-OBS Flux Tower.
638,NSA-OBS-FLXTR-9TE04-BAG01,55.88007,-98.48139,TE-04 branch bag measurement site near the NSA-OBS Flux Tower.
639,NSA-OBS-FLXTR-9TE04-GSE01,55.88007,-98.48139,TE-04 gas exchange measurement site near the NSA-OBS Flux Tower.
640,NSA-OBS-FLXTR-9TE06-ALM01,55.88007,-98.48139,TE-06 Allometry measurement site near the NSA-OBS Flux Tower.
641,NSA-OBS-FLXTR-9TE06-BIO01,55.88007,-98.48139,TE-06 biomass measurement site near the NSA-OBS Flux Tower.
642,NSA-OBS-FLXTR-9TE06-NPP01,55.88007,-98.48139,TE-06 NPP measurement site near the NSA-OBS Flux Tower.
643,NSA-OBS-FLXTR-9TE06-WRP01,55.88007,-98.48139,TE-06 water potential measurement site near the NSA-OBS Flux Tower.
644,NSA-OBS-FLXTR-9TE07-TRE01,55.88007,-98.48139,TE-07 tree ring density measurement site near the NSA Old Black Spruce Flux Tower.
645,NSA-OBS-FLXTR-9TE09-BCA01,55.88007,-98.48139,TE-09 Biochemistry measurement site near the NSA-OBS Flux Tower.
646,NSA-OBS-FLXTR-9TE09-BCP01,55.88007,-98.48139,TE-09 biochemistry measurement site near the NSA-OBS Flux Tower.
647,NSA-OBS-FLXTR-9TE09-CHL01,55.88007,-98.48139,TE-09 Chlorophyll sampling site near the NSA-OBS Flux Tower.
648,NSA-OBS-FLXTR-9TE09-GSE01,55.88007,-98.48139,TE-09 branch sampling site near the NSA-OBS flux tower.
649,NSA-OBS-FLXTR-9TE09-NPH01,55.88007,-98.48139,TE-09 nitrogen and photosynthesis measurement site near the NSA-OBS flux tower.
650,NSA-OBS-FLXTR-9TE09-PHR01,55.88007,-98.48139,TE-09 photo response data collection site near the NSA-OBS flux tower.
651,NSA-OBS-FLXTR-9TE09-PRN01,55.88007,-98.48139,TE-09 PAR and Nitrogen measurement site near the NSA-OBS flux tower.
652,NSA-OBS-FLXTR-9TE20-SOL01,55.88007,-98.48139,TE-20 soil pit 1 measurement site near the NSA-OBS Flux Tower.
653,NSA-OBS-FLXTR-9TE20-SOL02,55.88007,-98.48139,TE-20 soil pit 2 measurement site near the NSA-OBS Flux Tower.
654,NSA-OBS-FLXTR-9TE20-SOL03,55.88007,-98.48139,TE-20 soil pit 3 measurement site near the NSA-OBS Flux Tower.
655,NSA-OBS-FLXTR-9TE20-SOL04,55.88007,-98.48139,TE-20 soil pit 4 measurement site near the NSA-OBS Flux Tower.
