"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CHAMBER_ID,CH4_FLUX,REVISION_DATE,CRTFCN_CODE"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUN-1994,1620,'S',-101.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUN-1994,1621,'T',-172.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUN-1994,1643,'V',-158.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUN-1994,1644,'U',-76.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUN-1994,1710,'W',-94.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUN-1994,1711,'X',-49.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUN-1994,1905,'S',-134.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUN-1994,1912,'T',-103.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUN-1994,1955,'U',-93.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUN-1994,2007,'V',-85.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUN-1994,2030,'W',-62.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',04-JUL-1994,1855,'S',-145.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',04-JUL-1994,1856,'T',-114.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUL-1994,1736,'S',-89.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-JUL-1994,1737,'T',-120.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUL-1994,2034,'S',-67.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUL-1994,2035,'T',-87.0,09-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUL-1994,2100,'S',-61.0,09-NOV-1998,'CPI'"
