SITE_NAME,DATE_OBS,TIME_OBS,RESPIRATION,NEE,GEE,CRTFCN_CODE,REVISION_DATE
'NSA-OBS-FLXTR',17-Mar-94,330,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,400,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,430,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,500,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,530,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,600,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,630,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,700,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,730,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,800,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,830,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,900,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,930,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1000,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1030,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1100,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1130,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1200,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1230,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1300,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1330,-999,0.34,0.26,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1400,-999,0.333,0.252,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1430,-999,1.638,1.558,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1500,-999,-0.021,-0.101,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1530,-999,0.518,0.438,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1600,-999,0.676,0.596,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1630,-999,-0.872,-0.952,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1700,-999,-0.423,-0.503,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1730,-999,1.075,0.994,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1800,-999,-1.095,-1.175,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1830,-999,-0.184,-0.264,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1900,-999,0.16,0.08,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,1930,-999,0.619,0.539,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2000,-999,1.208,1.128,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2030,-999,1.521,1.441,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2100,-999,1.612,1.532,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2130,-999,-2.496,-2.576,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2200,-999,1.2,1.12,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2230,-999,1.176,1.096,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2300,-999,-0.721,-0.801,'CPI',21-Oct-99
'NSA-OBS-FLXTR',17-Mar-94,2330,-999,-0.871,-0.951,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,0,-999,-1.103,-1.183,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,30,-999,-0.377,-0.458,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,100,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,130,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,200,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,230,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,300,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,330,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,400,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,430,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,500,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,530,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,600,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,630,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,700,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,730,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,800,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,830,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,900,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,930,-999,0.08,0,'CPI',21-Oct-99
'NSA-OBS-FLXTR',18-Mar-94,1000,-999,0.08,0,'CPI',21-Oct-99
