SITE_NAME,DATE_MIDPOINT,NUM_DAYS,MEAN_GEE_30MIN,MEAN_GEE_DAILY_SUM,SUM_GEE,CUM_GEE,CRTFCN_CODE,REVISION_DATE
'NSA-OBS-FLXTR',30-Oct-94,4,0.1065,5.1105,20.442,20.442,'CPI',25-Oct-99
'NSA-OBS-FLXTR',3-Nov-94,4,0.0844,4.0533,16.2132,36.6552,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Nov-94,4,0.0765,3.6741,14.6964,51.3516,'CPI',25-Oct-99
'NSA-OBS-FLXTR',11-Nov-94,5,0.0716,3.4392,17.196,68.5476,'CPI',25-Oct-99
'NSA-OBS-FLXTR',16-Nov-94,4,0.0764,3.6674,14.6696,83.2172,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Nov-94,13,0.0008,0.0382,0.4966,83.7138,'CPI',25-Oct-99
'NSA-OBS-FLXTR',3-Dec-94,4,0,0,0,83.7138,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Dec-94,4,0,0,0,83.7138,'CPI',25-Oct-99
'NSA-OBS-FLXTR',15-Dec-94,10,0.0008,0.0404,0.404,84.1178,'CPI',25-Oct-99
'NSA-OBS-FLXTR',21-Dec-94,4,0.009,0.4311,1.7244,85.8422,'CPI',25-Oct-99
'NSA-OBS-FLXTR',25-Dec-94,4,-0.0075,-0.3595,-1.438,84.4042,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Jan-95,13,0.0023,0.11,1.43,85.8342,'CPI',25-Oct-99
'NSA-OBS-FLXTR',11-Jan-95,4,0,0,0,85.8342,'CPI',25-Oct-99
'NSA-OBS-FLXTR',17-Jan-95,7,0,0,0,85.8342,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-Jan-95,4,0,0,0,85.8342,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Jan-95,6,0.0021,0.0991,0.5946,86.4288,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Feb-95,5,0.0009,0.0414,0.207,86.6358,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Feb-95,6,-0.0064,-0.3073,-1.8438,84.792,'CPI',25-Oct-99
'NSA-OBS-FLXTR',12-Feb-95,4,0,0,0,84.792,'CPI',25-Oct-99
'NSA-OBS-FLXTR',16-Feb-95,4,0,0,0,84.792,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Feb-95,10,-0.003,-0.1454,-1.454,83.338,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Mar-95,4,0,0,0,83.338,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Mar-95,4,0,0,0,83.338,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Mar-95,4,-0.0111,-0.5328,-2.1312,81.2068,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Mar-95,4,0.0047,0.225,0.9,82.1068,'CPI',25-Oct-99
'NSA-OBS-FLXTR',21-Mar-95,10,0.0025,0.1202,1.202,83.3088,'CPI',25-Oct-99
'NSA-OBS-FLXTR',29-Mar-95,6,0.004,0.1923,1.1538,84.4626,'CPI',25-Oct-99
'NSA-OBS-FLXTR',3-Apr-95,4,-0.0073,-0.3508,-1.4032,83.0594,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Apr-95,4,-0.0278,-1.3335,-5.334,77.7254,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Apr-95,11,-0.0883,-4.2387,-46.6257,31.0997,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-Apr-95,4,-0.0724,-3.476,-13.904,17.1957,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Apr-95,5,-0.0743,-3.5657,-17.8285,-0.6328,'CPI',25-Oct-99
'NSA-OBS-FLXTR',1-May-95,4,-0.2632,-12.6337,-50.5348,-51.1676,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-May-95,4,-0.3014,-14.4664,-57.8656,-109.0332,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-May-95,6,-0.4012,-19.2598,-115.5588,-224.592,'CPI',25-Oct-99
'NSA-OBS-FLXTR',15-May-95,4,-0.4321,-20.7395,-82.958,-307.55,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-May-95,10,-0.5888,-28.2629,-282.629,-590.179,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Jun-95,15,-1.2114,-58.1449,-872.1735,-1462.3525,'CPI',25-Oct-99
'NSA-OBS-FLXTR',13-Jun-95,4,-1.7585,-84.41,-337.64,-1799.9925,'CPI',25-Oct-99
'NSA-OBS-FLXTR',17-Jun-95,4,-1.7542,-84.204,-336.816,-2136.8085,'CPI',25-Oct-99
'NSA-OBS-FLXTR',27-Jun-95,13,-1.5207,-72.9941,-948.9233,-3085.7318,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Jul-95,8,-1.4103,-67.6953,-541.5624,-3627.2942,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Jul-95,7,-1.3653,-65.5346,-458.7422,-4086.0364,'CPI',25-Oct-99
'NSA-OBS-FLXTR',19-Jul-95,7,-1.1705,-56.1832,-393.2824,-4479.3188,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Jul-95,4,-1.2391,-59.4782,-237.9128,-4717.2316,'CPI',25-Oct-99
'NSA-OBS-FLXTR',30-Jul-95,4,-0.8981,-43.1086,-172.4344,-4889.666,'CPI',25-Oct-99
'NSA-OBS-FLXTR',4-Aug-95,7,-1.4153,-67.9362,-475.5534,-5365.2194,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Aug-95,4,-1.1399,-54.7149,-218.8596,-5584.079,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Aug-95,4,-0.8815,-42.3135,-169.254,-5753.333,'CPI',25-Oct-99
'NSA-OBS-FLXTR',20-Aug-95,7,-1.1399,-54.7161,-383.0127,-6136.3457,'CPI',25-Oct-99
'NSA-OBS-FLXTR',25-Aug-95,4,-1.25,-59.9985,-239.994,-6376.3397,'CPI',25-Oct-99
'NSA-OBS-FLXTR',29-Aug-95,4,-1.1181,-53.6676,-214.6704,-6591.0101,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Sep-95,4,-1.32,-63.3586,-253.4344,-6844.4445,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Sep-95,4,-1.049,-50.3509,-201.4036,-7045.8481,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Sep-95,4,-0.8064,-38.708,-154.832,-7200.6801,'CPI',25-Oct-99
'NSA-OBS-FLXTR',15-Sep-95,6,-0.6049,-29.036,-174.216,-7374.8961,'CPI',25-Oct-99
'NSA-OBS-FLXTR',20-Sep-95,4,-0.4748,-22.7903,-91.1612,-7466.0573,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Sep-95,4,-0.7106,-34.1082,-136.4328,-7602.4901,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Sep-95,4,-0.6948,-33.351,-133.404,-7735.8941,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Oct-95,4,-0.6454,-30.9792,-123.9168,-7859.8109,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Oct-95,10,-0.441,-21.1663,-211.663,-8071.4739,'CPI',25-Oct-99
'NSA-OBS-FLXTR',16-Oct-95,4,-0.1902,-9.1312,-36.5248,-8107.9987,'CPI',25-Oct-99
'NSA-OBS-FLXTR',20-Oct-95,4,-0.1058,-5.0775,-20.31,-8128.3087,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Oct-95,4,-0.0651,-3.1267,-12.5068,-8140.8155,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Oct-95,4,-0.011,-0.5268,-2.1072,-8142.9227,'CPI',25-Oct-99
'NSA-OBS-FLXTR',1-Nov-95,4,-0.0038,-0.1823,-0.7292,-8143.6519,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Nov-95,4,-0.0005,-0.0239,-0.0956,-8143.7475,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Nov-95,5,-0.0004,-0.0168,-0.084,-8143.8315,'CPI',25-Oct-99
'NSA-OBS-FLXTR',16-Nov-95,10,0.0005,0.0254,0.254,-8143.5775,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Nov-95,4,0,0,0,-8143.5775,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Nov-95,4,0,0,0,-8143.5775,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Dec-95,4,0,0,0,-8143.5775,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Dec-95,4,0.0008,0.0362,0.1448,-8143.4327,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Dec-95,4,0,0,0,-8143.4327,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Dec-95,4,0,0,0,-8143.4327,'CPI',25-Oct-99
'NSA-OBS-FLXTR',19-Dec-95,6,0.001,0.0466,0.2796,-8143.1531,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Dec-95,4,0.0036,0.1724,0.6896,-8142.4635,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Dec-95,4,0.0004,0.0202,0.0808,-8142.3827,'CPI',25-Oct-99
'NSA-OBS-FLXTR',1-Jan-96,4,0,0,0,-8142.3827,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Jan-96,4,0,0,0,-8142.3827,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Jan-96,4,0.0012,0.0596,0.2384,-8142.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',13-Jan-96,4,0,0,0,-8142.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',17-Jan-96,4,0,0,0,-8142.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',21-Jan-96,5,0,0,0,-8142.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Jan-96,4,0,0,0,-8142.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',30-Jan-96,4,0,0,0,-8142.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',3-Feb-96,4,0,0,0,-8142.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Feb-96,4,0,0.002,0.008,-8142.1363,'CPI',25-Oct-99
'NSA-OBS-FLXTR',11-Feb-96,4,0.0083,0.3983,1.5932,-8140.5431,'CPI',25-Oct-99
'NSA-OBS-FLXTR',15-Feb-96,4,0.0021,0.0997,0.3988,-8140.1443,'CPI',25-Oct-99
'NSA-OBS-FLXTR',19-Feb-96,4,0.0001,0.0048,0.0192,-8140.1251,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Feb-96,7,0,0,0,-8140.1251,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Mar-96,6,0,0,0,-8140.1251,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Mar-96,11,-0.0008,-0.0366,-0.4026,-8140.5277,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Mar-96,6,-0.0066,-0.3174,-1.9044,-8142.4321,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Mar-96,4,0,0,0,-8142.4321,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Mar-96,4,0.0066,0.3154,1.2616,-8141.1705,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Apr-96,5,-0.0042,-0.1996,-0.998,-8142.1685,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Apr-96,4,0.003,0.1451,0.5804,-8141.5881,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Apr-96,4,-0.0084,-0.4052,-1.6208,-8143.2089,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Apr-96,4,0.001,0.0491,0.1964,-8143.0125,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Apr-96,4,-0.0107,-0.5122,-2.0488,-8145.0613,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-Apr-96,4,-0.022,-1.0576,-4.2304,-8149.2917,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Apr-96,4,-0.0691,-3.318,-13.272,-8162.5637,'CPI',25-Oct-99
'NSA-OBS-FLXTR',30-Apr-96,4,-0.1256,-6.0269,-24.1076,-8186.6713,'CPI',25-Oct-99
'NSA-OBS-FLXTR',4-May-96,6,-0.1514,-7.267,-43.602,-8230.2733,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-May-96,4,-0.1441,-6.9166,-27.6664,-8257.9397,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-May-96,4,-0.3115,-14.9515,-59.806,-8317.7457,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-May-96,4,-0.3096,-14.8595,-59.438,-8377.1837,'CPI',25-Oct-99
'NSA-OBS-FLXTR',23-May-96,5,-0.467,-22.4167,-112.0835,-8489.2672,'CPI',25-Oct-99
'NSA-OBS-FLXTR',27-May-96,4,-0.8358,-40.1195,-160.478,-8649.7452,'CPI',25-Oct-99
'NSA-OBS-FLXTR',31-May-96,5,-0.9221,-44.2587,-221.2935,-8871.0387,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Jun-96,4,-1.3636,-65.453,-261.812,-9132.8507,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Jun-96,4,-1.4564,-69.9067,-279.6268,-9412.4775,'CPI',25-Oct-99
'NSA-OBS-FLXTR',13-Jun-96,4,-1.4012,-67.2554,-269.0216,-9681.4991,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Jun-96,6,-1.0972,-52.6646,-315.9876,-9997.4867,'CPI',25-Oct-99
'NSA-OBS-FLXTR',23-Jun-96,4,-1.1146,-53.4993,-213.9972,-10211.484,'CPI',25-Oct-99
'NSA-OBS-FLXTR',27-Jun-96,4,-1.2588,-60.4224,-241.6896,-10453.174,'CPI',25-Oct-99
'NSA-OBS-FLXTR',1-Jul-96,4,-1.4745,-70.7774,-283.1096,-10736.283,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Jul-96,4,-1.2174,-58.4353,-233.7412,-10970.024,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Jul-96,4,-1.3605,-65.3046,-261.2184,-11231.243,'CPI',25-Oct-99
'NSA-OBS-FLXTR',13-Jul-96,4,-1.6739,-80.3481,-321.3924,-11552.635,'CPI',25-Oct-99
'NSA-OBS-FLXTR',17-Jul-96,4,-1.335,-64.0804,-256.3216,-11808.957,'CPI',25-Oct-99
'NSA-OBS-FLXTR',21-Jul-96,4,-1.2926,-62.0449,-248.1796,-12057.136,'CPI',25-Oct-99
'NSA-OBS-FLXTR',25-Jul-96,4,-1.338,-64.2241,-256.8964,-12314.033,'CPI',25-Oct-99
'NSA-OBS-FLXTR',29-Jul-96,4,-1.4694,-70.5326,-282.1304,-12596.163,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Aug-96,4,-1.6952,-81.3713,-325.4852,-12921.648,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Aug-96,4,-1.3288,-63.7819,-255.1276,-13176.776,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Aug-96,4,-1.27,-60.9602,-243.8408,-13420.617,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Aug-96,4,-1.2927,-62.0498,-248.1992,-13668.816,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Aug-96,4,-1.0763,-51.6643,-206.6572,-13875.473,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-Aug-96,7,-1.2821,-61.5398,-430.7786,-14306.252,'CPI',25-Oct-99
'NSA-OBS-FLXTR',29-Aug-96,4,-1.4038,-67.3826,-269.5304,-14575.782,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Sep-96,4,-1.1573,-55.5505,-222.202,-14797.984,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Sep-96,4,-0.8351,-40.0836,-160.3344,-14958.319,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Sep-96,4,-0.6202,-29.7716,-119.0864,-15077.405,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Sep-96,4,-0.9003,-43.2145,-172.858,-15250.263,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Sep-96,4,-0.9138,-43.8604,-175.4416,-15425.705,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-Sep-96,5,-0.6923,-33.228,-166.14,-15591.845,'CPI',25-Oct-99
'NSA-OBS-FLXTR',27-Sep-96,4,-0.5277,-25.3317,-101.3268,-15693.171,'CPI',25-Oct-99
'NSA-OBS-FLXTR',1-Oct-96,4,-0.3629,-17.4183,-69.6732,-15762.845,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Oct-96,4,-0.3296,-15.8214,-63.2856,-15826.13,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Oct-96,4,-0.2565,-12.3131,-49.2524,-15875.383,'CPI',25-Oct-99
'NSA-OBS-FLXTR',13-Oct-96,4,-0.1502,-7.2099,-28.8396,-15904.222,'CPI',25-Oct-99
'NSA-OBS-FLXTR',19-Oct-96,8,-0.1058,-5.0794,-40.6352,-15944.857,'CPI',25-Oct-99
'NSA-OBS-FLXTR',25-Oct-96,4,-0.0985,-4.7277,-18.9108,-15963.768,'CPI',25-Oct-99
'NSA-OBS-FLXTR',29-Oct-96,4,-0.0761,-3.6523,-14.6092,-15978.377,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Nov-96,4,0.0081,0.3894,1.5576,-15976.82,'CPI',25-Oct-99
'NSA-OBS-FLXTR',11-Nov-96,21,-0.0077,-0.3684,-7.7364,-15984.556,'CPI',25-Oct-99
'NSA-OBS-FLXTR',27-Nov-96,4,0,0,0,-15984.556,'CPI',25-Oct-99
'NSA-OBS-FLXTR',1-Dec-96,4,0,0,0,-15984.556,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Dec-96,4,0.0028,0.1335,0.534,-15984.022,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Dec-96,4,-0.003,-0.1459,-0.5836,-15984.606,'CPI',25-Oct-99
'NSA-OBS-FLXTR',13-Dec-96,5,-0.0007,-0.0315,-0.1575,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Dec-96,4,0,0,0,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',23-Dec-96,9,0,0,0,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',31-Dec-96,6,0,0,0,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Jan-97,4,0,0,0,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Jan-97,4,0,0,0,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',16-Feb-97,37,0,0,0,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',20-Feb-97,4,0,0,0,-15984.763,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Feb-97,4,0.0046,0.221,0.884,-15983.879,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Feb-97,4,-0.0009,-0.0416,-0.1664,-15984.046,'CPI',25-Oct-99
'NSA-OBS-FLXTR',4-Mar-97,4,0,0,0,-15984.046,'CPI',25-Oct-99
'NSA-OBS-FLXTR',8-Mar-97,4,-0.0001,-0.0041,-0.0164,-15984.062,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Mar-97,12,0.0001,0.0051,0.0612,-15984.001,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Mar-97,4,0.0024,0.1132,0.4528,-15983.548,'CPI',25-Oct-99
'NSA-OBS-FLXTR',29-Mar-97,6,-0.0145,-0.6944,-4.1664,-15987.714,'CPI',25-Oct-99
'NSA-OBS-FLXTR',3-Apr-97,5,-0.0171,-0.8197,-4.0985,-15991.813,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Apr-97,7,-0.0169,-0.8099,-5.6693,-15997.482,'CPI',25-Oct-99
'NSA-OBS-FLXTR',15-Apr-97,4,-0.039,-1.8712,-7.4848,-16004.967,'CPI',25-Oct-99
'NSA-OBS-FLXTR',19-Apr-97,5,-0.0759,-3.6445,-18.2225,-16023.19,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Apr-97,4,-0.1224,-5.8759,-23.5036,-16046.693,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Apr-97,4,-0.1501,-7.2061,-28.8244,-16075.518,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-May-97,24,-0.1428,-6.8525,-164.46,-16239.978,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-May-97,7,-0.6873,-32.9918,-230.9426,-16470.92,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Jun-97,4,-0.7967,-38.2428,-152.9712,-16623.891,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Jun-97,4,-1.3326,-63.9641,-255.8564,-16879.748,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Jun-97,4,-1.1081,-53.1889,-212.7556,-17092.503,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Jun-97,4,-1.3387,-64.256,-257.024,-17349.527,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Jun-97,4,-1.114,-53.473,-213.892,-17563.419,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Jun-97,6,-1.2511,-60.0511,-360.3066,-17923.726,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Jun-97,4,-1.2494,-59.9719,-239.8876,-18163.614,'CPI',25-Oct-99
'NSA-OBS-FLXTR',2-Jul-97,4,-1.3437,-64.4962,-257.9848,-18421.598,'CPI',25-Oct-99
'NSA-OBS-FLXTR',6-Jul-97,4,-1.4132,-67.8321,-271.3284,-18692.927,'CPI',25-Oct-99
'NSA-OBS-FLXTR',10-Jul-97,4,-1.4955,-71.7848,-287.1392,-18980.066,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Jul-97,4,-1.3524,-64.9163,-259.6652,-19239.731,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Jul-97,4,-1.2654,-60.7404,-242.9616,-19482.693,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-Jul-97,4,-1.3524,-64.913,-259.652,-19742.345,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Jul-97,4,-1.3575,-65.1607,-260.6428,-20002.988,'CPI',25-Oct-99
'NSA-OBS-FLXTR',30-Jul-97,4,-1.5456,-74.1903,-296.7612,-20299.749,'CPI',25-Oct-99
'NSA-OBS-FLXTR',3-Aug-97,4,-1.2653,-60.7334,-242.9336,-20542.682,'CPI',25-Oct-99
'NSA-OBS-FLXTR',7-Aug-97,4,-1.621,-77.8065,-311.226,-20853.908,'CPI',25-Oct-99
'NSA-OBS-FLXTR',11-Aug-97,4,-0.9194,-44.1308,-176.5232,-21030.432,'CPI',25-Oct-99
'NSA-OBS-FLXTR',15-Aug-97,5,-1.1563,-55.5019,-277.5095,-21307.941,'CPI',25-Oct-99
'NSA-OBS-FLXTR',24-Aug-97,8,-0.9437,-45.2997,-362.3976,-21670.339,'CPI',25-Oct-99
'NSA-OBS-FLXTR',28-Aug-97,4,-0.9934,-47.6829,-190.7316,-21861.07,'CPI',25-Oct-99
'NSA-OBS-FLXTR',1-Sep-97,4,-1.0654,-51.139,-204.556,-22065.626,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Sep-97,4,-1.1348,-54.4692,-217.8768,-22283.503,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Sep-97,4,-0.9291,-44.5963,-178.3852,-22461.888,'CPI',25-Oct-99
'NSA-OBS-FLXTR',13-Sep-97,4,-0.7613,-36.5428,-146.1712,-22608.059,'CPI',25-Oct-99
'NSA-OBS-FLXTR',17-Sep-97,4,-0.5681,-27.2706,-109.0824,-22717.142,'CPI',25-Oct-99
'NSA-OBS-FLXTR',21-Sep-97,4,-0.7689,-36.9088,-147.6352,-22864.777,'CPI',25-Oct-99
'NSA-OBS-FLXTR',25-Sep-97,4,-0.9017,-43.2794,-173.1176,-23037.895,'CPI',25-Oct-99
'NSA-OBS-FLXTR',30-Sep-97,6,-0.3765,-18.0714,-108.4284,-23146.323,'CPI',25-Oct-99
'NSA-OBS-FLXTR',5-Oct-97,4,-0.4918,-23.6058,-94.4232,-23240.746,'CPI',25-Oct-99
'NSA-OBS-FLXTR',9-Oct-97,5,-0.222,-10.6574,-53.287,-23294.033,'CPI',25-Oct-99
'NSA-OBS-FLXTR',14-Oct-97,4,-0.1698,-8.1493,-32.5972,-23326.63,'CPI',25-Oct-99
'NSA-OBS-FLXTR',18-Oct-97,4,-0.1606,-7.7068,-30.8272,-23357.458,'CPI',25-Oct-99
'NSA-OBS-FLXTR',22-Oct-97,5,-0.009,-0.4328,-2.164,-23359.622,'CPI',25-Oct-99
'NSA-OBS-FLXTR',26-Oct-97,3,-0.0358,-1.3981,-4.1943,-23363.816,'CPI',25-Oct-99
