SITE_NAME,DATE_MIDPOINT,NUM_DAYS,MEAN_NEE_30MIN,MEAN_NEE_DAILY_SUM,SUM_NEE,CUM_NEE,CRTFCN_CODE,REVISION_DATE
'NSA-OBS-FLXTR',19-Mar-94,5,0.0205,0.9846,4.923,4.923,'CPI',26-Oct-99
'NSA-OBS-FLXTR',7-Apr-94,24,0.0915,4.3926,105.4224,110.3454,'CPI',26-Oct-99
'NSA-OBS-FLXTR',16-Apr-94,5,0.1187,5.697,28.485,138.8304,'CPI',26-Oct-99
'NSA-OBS-FLXTR',25-Apr-94,10,0.1143,5.4856,54.856,193.6864,'CPI',26-Oct-99
'NSA-OBS-FLXTR',22-May-94,34,-0.2247,-10.7852,-366.6968,-173.0104,'CPI',26-Oct-99
'NSA-OBS-FLXTR',4-Jun-94,4,-0.0978,-4.6962,-18.7848,-191.7952,'CPI',26-Oct-99
'NSA-OBS-FLXTR',8-Jun-94,4,-0.2033,-9.7584,-39.0336,-230.8288,'CPI',26-Oct-99
'NSA-OBS-FLXTR',12-Jun-94,4,-0.16,-7.6823,-30.7292,-261.558,'CPI',26-Oct-99
'NSA-OBS-FLXTR',17-Jun-94,6,-0.2805,-13.4662,-80.7972,-342.3552,'CPI',26-Oct-99
'NSA-OBS-FLXTR',22-Jun-94,5,0.0434,2.0832,10.416,-331.9392,'CPI',26-Oct-99
'NSA-OBS-FLXTR',27-Jun-94,4,-0.342,-16.4147,-65.6588,-397.598,'CPI',26-Oct-99
'NSA-OBS-FLXTR',1-Jul-94,5,-0.1633,-7.8397,-39.1985,-436.7965,'CPI',26-Oct-99
'NSA-OBS-FLXTR',6-Jul-94,5,0.009,0.4337,2.1685,-434.628,'CPI',26-Oct-99
'NSA-OBS-FLXTR',11-Jul-94,4,-0.1137,-5.4581,-21.8324,-456.4604,'CPI',26-Oct-99
'NSA-OBS-FLXTR',15-Jul-94,4,-0.1053,-5.0559,-20.2236,-476.684,'CPI',26-Oct-99
'NSA-OBS-FLXTR',19-Jul-94,4,0.02,0.9617,3.8468,-472.8372,'CPI',26-Oct-99
'NSA-OBS-FLXTR',27-Jul-94,10,0.0507,2.4349,24.349,-448.4882,'CPI',26-Oct-99
'NSA-OBS-FLXTR',2-Aug-94,4,-0.2296,-11.0231,-44.0924,-492.5806,'CPI',26-Oct-99
'NSA-OBS-FLXTR',6-Aug-94,5,-0.2577,-12.3706,-61.853,-554.4336,'CPI',26-Oct-99
'NSA-OBS-FLXTR',13-Aug-94,9,-0.0721,-3.4592,-31.1328,-585.5664,'CPI',26-Oct-99
'NSA-OBS-FLXTR',20-Aug-94,4,-0.0423,-2.0314,-8.1256,-593.692,'CPI',26-Oct-99
'NSA-OBS-FLXTR',24-Aug-94,4,0.1648,7.9085,31.634,-562.058,'CPI',26-Oct-99
'NSA-OBS-FLXTR',28-Aug-94,4,-0.246,-11.8057,-47.2228,-609.2808,'CPI',26-Oct-99
'NSA-OBS-FLXTR',2-Sep-94,7,-0.1245,-5.9738,-41.8166,-651.0974,'CPI',26-Oct-99
'NSA-OBS-FLXTR',8-Sep-94,4,-0.1132,-5.4341,-21.7364,-672.8338,'CPI',26-Oct-99
'NSA-OBS-FLXTR',15-Sep-94,8,0.2621,12.5831,100.6648,-572.169,'CPI',26-Oct-99
'NSA-OBS-FLXTR',20-Sep-94,4,0.1698,8.1517,32.6068,-539.5622,'CPI',26-Oct-99
'NSA-OBS-FLXTR',27-Sep-94,7,0.0451,2.1635,15.1445,-524.4177,'CPI',26-Oct-99
'NSA-OBS-FLXTR',1-Oct-94,5,0.0249,1.1951,5.9755,-518.4422,'CPI',26-Oct-99
'NSA-OBS-FLXTR',6-Oct-94,4,0.024,1.1543,4.6172,-513.825,'CPI',26-Oct-99
'NSA-OBS-FLXTR',10-Oct-94,4,0.0754,3.6183,14.4732,-499.3518,'CPI',26-Oct-99
'NSA-OBS-FLXTR',14-Oct-94,6,0.153,7.3435,44.061,-455.2908,'CPI',26-Oct-99
'NSA-OBS-FLXTR',20-Oct-94,4,0.1673,8.0308,32.1232,-423.1676,'CPI',26-Oct-99
'NSA-OBS-FLXTR',24-Oct-94,4,0.1707,8.1918,32.7672,-390.4004,'CPI',26-Oct-99
'NSA-OBS-FLXTR',28-Oct-94,4,0.1799,8.636,34.544,-355.8564,'CPI',26-Oct-99
'NSA-OBS-FLXTR',1-Nov-94,4,0.1392,6.6804,26.7216,-329.1348,'CPI',26-Oct-99
'NSA-OBS-FLXTR',5-Nov-94,4,0.1445,6.9338,27.7352,-301.3996,'CPI',26-Oct-99
