"SITE_NAME,SUB_SITE,DATE_OBS,TIME_OBS,CHAMBER_ID,NET_CO2_FLUX,REVISION_DATE,CRTFCN_CODE"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUN-1994,1824,'S',1.37,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',28-JUN-1994,1840,'T',1.87,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',07-JUL-1994,2005,'S',1.22,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',07-JUL-1994,2014,'T',1.48,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',21-JUL-1994,1734,'S',1.83,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',21-JUL-1994,1742,'T',1.95,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',31-JUL-1994,1616,'S',1.0,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',31-JUL-1994,1626,'T',1.16,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-AUG-1994,1811,'S',.62,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-AUG-1994,1823,'T',.71,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-AUG-1994,1855,'U',1.04,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-AUG-1994,1906,'V',.87,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-AUG-1994,1937,'W',1.37,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-AUG-1994,1948,'X',1.07,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-AUG-1994,2141,'S',.62,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-AUG-1994,2150,'T',.76,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-AUG-1994,2220,'U',1.14,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-AUG-1994,2229,'V',.97,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-AUG-1994,2259,'W',1.23,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',10-AUG-1994,2307,'X',.96,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',15-AUG-1994,1620,'S',.65,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',15-AUG-1994,1701,'U',1.14,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',15-AUG-1994,1711,'V',1.08,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',15-AUG-1994,1745,'W',1.23,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',15-AUG-1994,1750,'X',1.14,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',18-AUG-1994,2105,'S',.65,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',18-AUG-1994,2115,'T',.73,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',18-AUG-1994,2146,'U',1.12,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',18-AUG-1994,2157,'V',.94,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',25-AUG-1994,1905,'S',.63,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',25-AUG-1994,1915,'T',.63,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',25-AUG-1994,2035,'U',.8,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',25-AUG-1994,2045,'V',.68,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-SEP-1994,2035,'S',.55,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',09-SEP-1994,2045,'T',.61,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',14-SEP-1994,2100,'T',.54,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',14-SEP-1994,2130,'U',.95,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',14-SEP-1994,2140,'V',.72,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',14-SEP-1994,2151,'S',.53,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',14-SEP-1994,2222,'W',.92,10-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-FLX01',14-SEP-1994,2232,'X',.77,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',05-JUN-1994,1744,'N',1.78,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',05-JUN-1994,1810,'O',2.08,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',28-JUN-1994,1805,'M',3.23,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',28-JUN-1994,1820,'N',2.03,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',08-JUL-1994,2113,'M',1.5,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',08-JUL-1994,2126,'N',2.05,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-JUL-1994,1610,'M',-.1,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-JUL-1994,1626,'N',1.26,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',21-JUL-1994,1715,'O',.87,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',31-JUL-1994,1750,'M',1.09,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',31-JUL-1994,1801,'N',1.69,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',31-JUL-1994,1825,'O',-.72,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',31-JUL-1994,1835,'P',1.03,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-AUG-1994,2127,'M',1.04,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-AUG-1994,2138,'N',1.09,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-AUG-1994,2207,'O',-.87,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-AUG-1994,2218,'P',.35,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-AUG-1994,2251,'Q',.32,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-AUG-1994,2302,'R',.46,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',19-AUG-1994,1828,'M',3.7,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',19-AUG-1994,1839,'N',.39,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',19-AUG-1994,1913,'O',.35,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',19-AUG-1994,1923,'P',.6,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',19-AUG-1994,1954,'Q',-1.65,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',19-AUG-1994,2004,'R',-.2,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',25-AUG-1994,1642,'M',1.75,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',25-AUG-1994,1652,'N',1.17,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',25-AUG-1994,1734,'O',-.77,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',25-AUG-1994,1744,'P',-.67,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',25-AUG-1994,1815,'Q',-1.63,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',25-AUG-1994,1825,'R',.37,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-SEP-1994,2210,'M',3.47,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-SEP-1994,2220,'N',2.27,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-SEP-1994,2250,'O',.5,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',09-SEP-1994,2300,'P',1.29,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',15-SEP-1994,1624,'N',1.34,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',15-SEP-1994,1634,'M',2.08,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',15-SEP-1994,1705,'O',-.42,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',15-SEP-1994,1714,'P',.23,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',15-SEP-1994,1751,'Q',-1.82,10-NOV-1998,'CPI'"
"'SSA-9JP-RECCT','9TF04-FLX01',15-SEP-1994,1759,'R',-.64,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,1757,'H',1.2,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',08-JUN-1994,1810,'G',1.12,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',24-JUN-1994,1812,'G',1.42,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',24-JUN-1994,1825,'H',1.84,10-NOV-1998,'CPI'"
"'SSA-OJP-FLXTR','9TF04-FLX01',07-JUL-1994,1819,'G',1.83,10-NOV-1998,'CPI'"
