"SITE_NAME,SUB_SITE,DATE_OBS,MEAN_CH4_FLUX,STD_ERR_CH4,CH4_FLUX_NIGHT,STD_ERR_CH4_NIGHT,MEAN_CO2_FLUX,STD_ERR_CO2,CO2_FLUX_NIGHT,STD_ERR_CO2_NIGHT,CRTFCN_CODE,REVISION_DATE"
"'SSA-OBS-FLXTR','9TE01-FLX01',09-JUN-1994,.00018519,-999.0,.05153935,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',09-JUN-1994,-.000081,.00001157,.01094907,.00322917,-999.0,-999.0,1.4959,.27341,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',17-JUN-1994,.00020833,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',17-JUN-1994,.0000694,.00002315,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',23-JUN-1994,.00045139,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',23-JUN-1994,.00033565,.00027778,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',25-JUN-1994,.00079861,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',25-JUN-1994,.00033565,.00017361,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',30-JUN-1994,.0025,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',30-JUN-1994,.0002662,.00019676,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',10-JUL-1994,.00280093,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',10-JUL-1994,.00084491,.00049769,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',14-JUL-1994,.00975694,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',14-JUL-1994,.00090278,.00027778,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',21-JUL-1994,.00614583,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',21-JUL-1994,.00020833,.00002315,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',24-JUL-1994,.00865741,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',24-JUL-1994,.0003125,.00009259,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',28-JUL-1994,.01503472,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',28-JUL-1994,.00232639,.0005787,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',01-AUG-1994,.030625,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',01-AUG-1994,.00246528,.00125,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',03-AUG-1994,.01157407,.01157407,-999.0,-999.0,1.47513889,.315,1.8601,.47403,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',03-AUG-1994,.00449074,.00184028,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',03-AUG-1994,.01157407,.01157407,-999.0,-999.0,1.53113426,.13421,1.63487,.2525,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',03-AUG-1994,.02659722,-999.0,-999.0,-999.0,.59609954,.0442,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',08-AUG-1994,.01157407,.01157407,-999.0,-999.0,.6744213,.12318,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',08-AUG-1994,.0974537,-999.0,-999.0,-999.0,.64027778,.02233,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',08-AUG-1994,.00561343,.00212963,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',08-AUG-1994,.01157407,.01157407,-999.0,-999.0,1.04048611,.07705,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',11-AUG-1994,.00211806,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',11-AUG-1994,.00020833,.00008102,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',15-AUG-1994,.01157407,.01157407,-999.0,-999.0,.83810185,.2272,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',15-AUG-1994,.03991898,-999.0,-999.0,-999.0,.62131944,.07413,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',15-AUG-1994,.00528935,.00157407,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',15-AUG-1994,.01157407,.01157407,-999.0,-999.0,.93384259,.06502,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',21-AUG-1994,.01157407,.01157407,-999.0,-999.0,1.07146991,.32803,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',21-AUG-1994,.01329861,.00429398,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',21-AUG-1994,.01157407,.01157407,-999.0,-999.0,1.10665509,.10381,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',21-AUG-1994,.04106481,-999.0,-999.0,-999.0,.35929398,.32289,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',28-AUG-1994,.01157407,.01157407,-999.0,-999.0,.60072917,.18859,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',28-AUG-1994,.00846065,.00215278,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',28-AUG-1994,.03740741,-999.0,-999.0,-999.0,-1.5966782,.25669,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',04-SEP-1994,.01157407,.01157407,-999.0,-999.0,1.11063657,.45163,-999.0,-999.0,'CPI',07-NOV-1996"
"'SSA-OBS-FLXTR','9TE01-FLX01',04-SEP-1994,.01857639,-999.0,-999.0,-999.0,2.0808912,1.20968,-999.0,-999.0,'CPI',07-NOV-1996"
