"SITE_NAME,SUB_SITE,DATE_OBS,CH4_CONC,CO2_CONC,SOIL_DEPTH,COVER_TYPE,PROFILE_NUM,CRTFCN_CODE,REVISION_DATE"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,0.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,6.946,,50.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,13.89,,100.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,666.5,,200.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,250.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,1.756,,50.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,150.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,250.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,274.8,,50.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,0.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,1.691,,200.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,1.825,,150.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,100.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,2.198,,50.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,2.002,,0.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,199.0,,250.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,555.6,,200.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,76.4,,150.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,250.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,100.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,-999.0,,200.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,1.872,,100.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,1.933,,0.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',19-MAY-1994,409.8,,150.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,0.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,250.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,200.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,250.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,200.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,150.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,1.88,,100.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,1.922,,50.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,1.574,,0.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,39.81,,250.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,200.8,,200.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,1476.0,,150.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,18.46,,100.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,11.67,,50.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,1.678,,0.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,250.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,200.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,150.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,1.911,,100.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,2.131,,50.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,1.686,,0.0,'SphagnumMoss','M-BP-ms21','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,50.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,100.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',26-MAY-1994,-999.0,,150.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,1.999,,0.0,'Mire','M-BP-mc25','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,1.056,,150.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,2.172,,100.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,1.758,,50.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,2.354,,0.0,'Lichen','M-BP-ul17','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,-999.0,,250.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,2490.0,,200.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,12.95,,150.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
"'NSA-BVP-FLXTR','TGB01-SPR01',31-MAY-1994,-999.0,,100.0,'Pond','M-BP-p29','PRE',10-JAN-1997"
