"SITE_NAME,SUB_SITE,DATE_OBS,CHAMBER_ID,SOIL_DEPTH,CO2_CONC,REVISION_DATE,CRTFCN_CODE"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.1,570.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.1,621.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.2,826.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.3,963.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.6,1020.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.7,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',05-JUN-1994,'ST',-.9,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.3,1050.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.9,1180.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.7,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.6,1140.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.3,1000.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.1,601.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.1,747.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.2,939.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',29-JUN-1994,'ST',-.2,885.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',0.0,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.1,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.1,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.2,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.2,965.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.3,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.3,1130.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.4,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.5,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.6,1220.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.7,-999.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',07-JUL-1994,'ST',-.9,1300.0,12-NOV-1998,'CPI'"
"'SSA-9JP-CLRCT','9TF04-SPR01',23-JUL-1994,'ST',0.0,-999.0,12-NOV-1998,'CPI'"
